INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
376,28648.0,40352.0,21260.0,31296.0,7.52
377,27356.0,38992.0,19880.0,34884.0,7.54
378,27300.0,37492.0,22036.0,29492.0,7.56
379,26588.0,33820.0,26564.0,33808.0,7.58
380,25416.0,29868.0,27520.0,32948.0,7.6
381,24736.0,27240.0,27744.0,33348.0,7.62
382,23708.0,25824.0,27468.0,33272.0,7.64
383,21400.0,23200.0,27224.0,32984.0,7.66
384,18762.0,20248.0,27080.0,32856.0,7.68
385,17124.0,17836.0,27372.0,32984.0,7.7
386,17240.0,15754.0,27264.0,33040.0,7.72
387,18716.0,13904.0,27010.0,32752.0,7.74
388,20512.0,12372.0,26600.0,32344.0,7.76
389,21772.0,11080.0,27044.0,32960.0,7.78
390,22100.0,9660.0,27084.0,33872.0,7.8
391,21680.0,8608.0,26704.0,32744.0,7.82
392,21008.0,8202.0,27788.0,34144.0,7.84
393,20288.0,7828.0,27860.0,34428.0,7.86
394,20836.0,7700.0,25804.0,33728.0,7.88
395,22576.0,10104.0,23744.0,32916.0,7.9
396,23920.0,12682.0,22984.0,32976.0,7.92
397,24988.0,14204.0,21300.0,32644.0,7.94
398,26000.0,15420.0,21700.0,30844.0,7.96
399,27048.0,16712.0,23024.0,30244.0,7.98
400,28404.0,19368.0,27908.0,30636.0,8.0
401,30012.0,20992.0,35100.0,30400.0,8.02
402,31496.0,22556.0,37396.0,25800.0,8.04
403,32044.0,25064.0,31380.0,28316.0,8.06
404,31484.0,26320.0,31492.0,27960.0,8.08
405,30508.0,25520.0,32116.0,29948.0,8.1
406,30092.0,27004.0,31048.0,30860.0,8.12
407,30888.0,28200.0,28644.0,31476.0,8.14
408,31520.0,28264.0,27942.0,33588.0,8.16
409,30056.0,27216.0,27476.0,34680.0,8.18
410,26432.0,25376.0,26732.0,36056.0,8.2
411,22932.0,23108.0,26368.0,38476.0,8.22
412,20052.0,22272.0,27208.0,40488.0,8.24
413,18288.0,24058.0,27984.0,41256.0,8.26
414,18816.0,25872.0,27780.0,41216.0,8.28
415,22192.0,26752.0,27304.0,39788.0,8.3
416,26498.0,25440.0,26808.0,38388.0,8.32
417,30884.0,23076.0,26618.0,39008.0,8.34
418,34552.0,21184.0,26048.0,38864.0,8.36
419,36436.0,20176.0,25280.0,37624.0,8.38
420,37228.0,19172.0,19268.0,38988.0,8.4
421,37376.0,17820.0,25928.0,40552.0,8.42
422,37268.0,17861.0,20344.0,29384.0,8.44
423,36448.0,17296.0,25588.0,30696.0,8.46
424,33720.0,15404.0,27436.0,33112.0,8.48
425,29668.0,13624.0,29256.0,33432.0,8.5
426,27376.0,13708.0,18096.0,32244.0,8.52
427,28344.0,12436.0,26248.0,28289.0,8.54
428,30464.0,10774.0,28328.0,32796.0,8.56
429,31156.0,11900.0,28064.0,33164.0,8.58
430,30320.0,18840.0,27788.0,33720.0,8.6
431,28952.0,24432.0,27324.0,33248.0,8.62
432,25888.0,26420.0,26816.0,33156.0,8.64
433,22560.0,25756.0,26952.0,32512.0,8.66
434,20448.0,22596.0,27032.0,33400.0,8.68
435,21152.0,19450.0,26868.0,32868.0,8.7
436,23464.0,16728.0,26068.0,33508.0,8.72
437,25644.0,14377.0,26532.0,32520.0,8.74
438,26904.0,12488.0,27448.0,34368.0,8.76
439,27048.0,10832.0,26732.0,34196.0,8.78
440,26592.0,9680.0,24040.0,33548.0,8.8
441,26760.0,9520.0,23704.0,32724.0,8.82
442,28680.0,11026.0,22392.0,33036.0,8.84
443,31652.0,13784.0,21434.0,31864.0,8.86
444,35000.0,17344.0,22046.0,28952.0,8.88
445,38672.0,22612.0,24732.0,29740.0,8.9
446,41968.0,28088.0,33312.0,29448.0,8.92
447,44744.0,32832.0,38840.0,26900.0,8.94
448,46496.0,36984.0,31272.0,27104.0,8.96
449,46696.0,40200.0,31864.0,27448.0,8.98
450,45216.0,41584.0,32336.0,29432.0,9.0
451,43088.0,42880.0,30900.0,29796.0,9.02
452,40668.0,45752.0,29368.0,31256.0,9.04
453,39304.0,46832.0,27864.0,33896.0,9.06
454,38960.0,43256.0,26744.0,35808.0,9.08
455,37144.0,37228.0,25280.0,37144.0,9.1
456,32920.0,32192.0,25636.0,40256.0,9.12
457,28608.0,29468.0,27200.0,42544.0,9.14
458,25008.0,31672.0,27700.0,42128.0,9.16
459,22672.0,34648.0,27784.0,41776.0,9.18
460,23248.0,33888.0,28584.0,41336.0,9.2
461,27936.0,33092.0,27024.0,38160.0,9.22
462,33056.0,33036.0,27044.0,38264.0,9.24
463,37356.0,32340.0,26768.0,39672.0,9.26
464,39584.0,32604.0,25048.0,33808.0,9.28
465,40040.0,33020.0,18264.0,42656.0,9.3
466,40520.0,31616.0,27344.0,29976.0,9.32
467,41024.0,27940.0,27576.0,31936.0,9.34
468,40884.0,24884.0,26676.0,33928.0,9.36
469,39776.0,23192.0,25904.0,33764.0,9.38
470,38640.0,23060.0,27608.0,33096.0,9.4
471,37952.0,23448.0,27192.0,32586.0,9.42
472,37204.0,25360.0,25088.0,33992.0,9.44
473,36412.0,27288.0,24464.0,31872.0,9.46
474,36528.0,28380.0,26640.0,32988.0,9.48
475,36256.0,30808.0,27420.0,33216.0,9.5
476,35504.0,33070.0,27624.0,33140.0,9.52
477,34948.0,34360.0,27356.0,33224.0,9.54
478,34188.0,34968.0,26944.0,33052.0,9.56
479,33192.0,35484.0,27000.0,33128.0,9.58
480,32104.0,35680.0,27616.0,33472.0,9.6
481,31120.0,35744.0,27112.0,33880.0,9.62
482,30576.0,36744.0,26548.0,33304.0,9.64
483,30848.0,38808.0,27388.0,32772.0,9.66
484,31724.0,41716.0,27424.0,34688.0,9.68
485,33116.0,44696.0,26228.0,33832.0,9.7
486,35052.0,47432.0,24892.0,33488.0,9.72
487,36908.0,49352.0,24168.0,33564.0,9.74
488,38136.0,51536.0,22260.0,33472.0,9.76
489,38656.0,52880.0,20376.0,31416.0,9.78
490,38356.0,54336.0,20642.0,29376.0,9.8
491,37632.0,54936.0,24868.0,30156.0,9.82
492,36956.0,56296.0,28880.0,34344.0,9.84
493,37256.0,57456.0,36848.0,30276.0,9.86
494,38136.0,57920.0,36304.0,26666.0,9.88
495,38252.0,56936.0,31844.0,25868.0,9.9
496,37584.0,54200.0,32984.0,28952.0,9.92
497,36040.0,48832.0,32648.0,29632.0,9.94
498,34472.0,47800.0,30868.0,30252.0,9.96
499,33652.0,50416.0,29192.0,31104.0,9.98
500,33360.0,48568.0,28140.0,32184.0,10.0
501,32512.0,42088.0,28000.0,34460.0,10.02
502,30336.0,36772.0,26480.0,36324.0,10.04
503,26756.0,32360.0,25448.0,37792.0,10.06
504,23332.0,30224.0,25904.0,41192.0,10.08
505,20592.0,30248.0,26868.0,42584.0,10.1
506,19200.0,29384.0,28048.0,42216.0,10.12
507,19320.0,27012.0,27784.0,40436.0,10.14
508,21042.0,24840.0,27384.0,40792.0,10.16
509,24520.0,23324.0,26488.0,38032.0,10.18
510,29316.0,22072.0,26904.0,37472.0,10.2
511,34112.0,21612.0,28056.0,36116.0,10.22
512,37712.0,21746.0,13520.0,48040.0,10.24
513,39024.0,23720.0,26836.0,31328.0,10.26
514,38088.0,25660.0,24676.0,32492.0,10.28
515,35008.0,26248.0,25292.0,33548.0,10.3
516,31288.0,23896.0,22964.0,31688.0,10.32
517,28744.0,21652.0,28188.0,31840.0,10.34
518,27508.0,20568.0,26160.0,32608.0,10.36
519,27300.0,19560.0,25540.0,32888.0,10.38
520,27780.0,17312.0,26376.0,33064.0,10.4
521,27960.0,15160.0,26944.0,33216.0,10.42
522,28328.0,13394.0,26776.0,32988.0,10.44
523,28960.0,11756.0,27028.0,32684.0,10.46
524,29144.0,10244.0,27288.0,33732.0,10.48
525,28664.0,9044.0,25904.0,32736.0,10.5
526,28184.0,7930.0,25592.0,32764.0,10.52
527,28412.0,6942.0,27160.0,32504.0,10.54
