INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
456,20944.0,64192.0,27360.0,32676.0,9.12
457,20512.0,64320.0,27360.0,32692.0,9.14
458,20096.0,64288.0,27360.0,32688.0,9.16
459,19788.0,64336.0,27352.0,32676.0,9.18
460,19576.0,64440.0,27360.0,32688.0,9.2
461,19668.0,64424.0,27376.0,32672.0,9.22
462,19881.0,64616.0,27372.0,32688.0,9.24
463,20108.0,64688.0,27364.0,32684.0,9.26
464,20460.0,64792.0,27376.0,32688.0,9.28
465,20932.0,64176.0,27360.0,32688.0,9.3
466,21280.0,63728.0,27370.0,32684.0,9.32
467,21412.0,63680.0,27360.0,32704.0,9.34
468,21380.0,63904.0,27352.0,32692.0,9.36
469,21321.0,64072.0,27372.0,32672.0,9.38
470,20900.0,63996.0,27360.0,32680.0,9.4
471,20728.0,63896.0,27368.0,32676.0,9.42
472,21004.0,63728.0,27360.0,32684.0,9.44
473,21028.0,63624.0,27376.0,32672.0,9.46
474,20984.0,63792.0,27360.0,32668.0,9.48
475,20688.0,63744.0,27364.0,32664.0,9.5
476,20276.0,62700.0,27376.0,32648.0,9.52
477,19988.0,60480.0,27372.0,32644.0,9.54
478,19968.0,57312.0,27364.0,32656.0,9.56
479,20112.0,52680.0,27372.0,32648.0,9.58
480,20100.0,46816.0,27376.0,32640.0,9.6
481,19792.0,40992.0,27344.0,32656.0,9.62
482,19232.0,35984.0,27360.0,32640.0,9.64
483,18632.0,31440.0,27360.0,32656.0,9.66
484,17908.0,27704.0,27352.0,32644.0,9.68
485,16968.0,24320.0,27328.0,32660.0,9.7
486,15908.0,21289.0,27340.0,32672.0,9.72
487,14856.0,18820.0,27344.0,32668.0,9.74
488,13968.0,16728.0,27352.0,32648.0,9.76
489,13006.0,14757.0,27328.0,32640.0,9.78
490,12520.0,13016.0,27348.0,32652.0,9.8
491,12868.0,11624.0,27332.0,32652.0,9.82
492,12936.0,10208.0,27344.0,32652.0,9.84
493,12992.0,9051.0,27360.0,32652.0,9.86
494,13228.0,7876.0,27332.0,32668.0,9.88
495,13440.0,6973.0,27360.0,32648.0,9.9
496,13849.0,6040.0,27340.0,32672.0,9.92
497,14648.0,5444.0,27332.0,32652.0,9.94
498,15532.0,4852.0,27344.0,32648.0,9.96
499,16184.0,4199.0,27344.0,32676.0,9.98
500,16864.0,3676.0,27336.0,32656.0,10.0
501,17792.0,3259.0,27340.0,32656.0,10.02
502,18868.0,2723.0,27340.0,32672.0,10.04
503,19928.0,2563.0,27332.0,32656.0,10.06
504,20761.0,2197.0,27356.0,32660.0,10.08
505,21308.0,1961.0,27336.0,32676.0,10.1
506,21708.0,1751.0,27344.0,32664.0,10.12
507,21560.0,1677.0,27344.0,32676.0,10.14
508,21792.0,1322.0,27332.0,32656.0,10.16
509,21992.0,1510.0,27324.0,32672.0,10.18
510,22088.0,1288.0,27344.0,32660.0,10.2
511,21876.0,1096.0,27324.0,32676.0,10.22
512,21672.0,1261.0,27336.0,32672.0,10.24
513,21440.0,1156.0,27336.0,32664.0,10.26
514,21220.0,882.0,27320.0,32652.0,10.28
515,21120.0,806.0,27344.0,32668.0,10.3
516,21216.0,728.0,27336.0,32664.0,10.32
517,21228.0,645.0,27340.0,32676.0,10.34
518,21312.0,675.0,27352.0,32640.0,10.36
519,21596.0,626.0,27348.0,32672.0,10.38
520,22044.0,498.0,27340.0,32664.0,10.4
521,22496.0,464.0,27328.0,32672.0,10.42
522,22856.0,376.0,27336.0,32668.0,10.44
523,23080.0,337.0,27344.0,32652.0,10.46
524,23168.0,297.0,27332.0,32664.0,10.48
525,23168.0,261.0,27344.0,32672.0,10.5
526,23160.0,279.0,27336.0,32684.0,10.52
527,23620.0,302.0,27340.0,32664.0,10.54
528,24152.0,229.0,27324.0,32672.0,10.56
